regime,n_cases,mean_efficiency,mean_cost,mean_reachable_fraction,mean_recovery_beta,mean_interval
fragile,20,0.1055274480130188,13.109748549983667,0.888888888888889,0.028500000000000004,13.6
healthy,21,0.10966636507427899,11.563922490965982,0.9375,0.05514285714285714,11.761904761904763
strained,20,0.10694788194451772,12.382940589258727,0.888888888888889,0.0426,15.15
trapped,20,0.10543682989984907,13.12698444344456,0.888888888888889,0.016800000000000002,17.85
