scenario,time,reachable_fraction,mean_path_cost,max_path_cost,network_efficiency
clustered,0,1.0,11.0,22,0.1121245832571381
clustered,1,1.0,11.0,22,0.1121245832571381
clustered,2,1.0,11.0,22,0.1121245832571381
clustered,3,1.0,11.0,22,0.1121245832571381
clustered,4,1.0,11.0,22,0.1121245832571381
clustered,5,1.0,11.0,22,0.1121245832571381
clustered,6,1.0,11.0,22,0.1121245832571381
clustered,7,1.0,11.0,22,0.1121245832571381
clustered,8,1.0,11.0,22,0.1121245832571381
clustered,9,1.0,11.0,22,0.1121245832571381
clustered,10,0.9722222222222222,11.321428571428571,22,0.11003975061537848
clustered,11,0.9722222222222222,11.321428571428571,22,0.11003975061537848
clustered,12,0.9722222222222222,11.321428571428571,22,0.11003975061537848
clustered,13,0.9722222222222222,11.321428571428571,22,0.11003975061537848
clustered,14,0.9722222222222222,11.321428571428571,22,0.11003975061537848
clustered,15,0.9375,11.622222222222222,22,0.10858794967509315
clustered,16,0.9375,11.622222222222222,22,0.10858794967509315
clustered,17,0.9375,11.622222222222222,22,0.10858794967509315
clustered,18,0.9375,11.622222222222222,22,0.10858794967509315
clustered,19,0.9375,11.622222222222222,22,0.10858794967509315
clustered,20,0.9375,11.622222222222222,22,0.10858794967509315
clustered,21,0.9375,11.622222222222222,22,0.10858794967509315
clustered,22,0.9375,11.622222222222222,22,0.10858794967509315
clustered,23,0.9375,11.622222222222222,22,0.10858794967509315
clustered,24,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,25,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,26,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,27,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,28,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,29,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,30,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,31,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,32,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,33,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,34,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,35,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,36,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,37,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,38,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,39,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,40,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,41,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,42,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,43,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,44,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,45,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,46,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,47,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,48,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,49,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,50,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,51,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,52,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,53,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,54,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,55,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,56,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,57,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,58,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,59,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,60,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,61,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,62,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,63,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,64,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,65,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,66,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,67,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,68,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,69,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,70,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,71,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,72,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,73,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,74,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,75,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,76,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,77,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,78,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,79,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,80,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,81,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,82,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,83,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,84,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,85,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,86,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,87,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,88,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,89,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,90,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,91,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,92,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,93,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,94,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,95,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,96,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,97,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,98,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,99,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,100,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,101,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,102,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,103,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,104,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,105,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,106,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,107,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,108,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,109,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,110,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,111,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,112,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,113,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,114,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,115,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,116,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,117,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,118,0.8888888888888888,11.984375,22,0.10688145420554938
clustered,119,0.8888888888888888,11.984375,22,0.10688145420554938
intermediate,0,1.0,11.0,22,0.1121245832571381
intermediate,1,1.0,11.0,22,0.1121245832571381
intermediate,2,1.0,11.0,22,0.1121245832571381
intermediate,3,1.0,11.0,22,0.1121245832571381
intermediate,4,1.0,11.0,22,0.1121245832571381
intermediate,5,1.0,11.0,22,0.1121245832571381
intermediate,6,1.0,11.0,22,0.1121245832571381
intermediate,7,1.0,11.0,22,0.1121245832571381
intermediate,8,1.0,11.0,22,0.1121245832571381
intermediate,9,1.0,11.0,22,0.1121245832571381
intermediate,10,0.9722222222222222,11.321428571428571,22,0.11003975061537848
intermediate,11,0.9722222222222222,11.321428571428571,22,0.11003975061537848
intermediate,12,0.9722222222222222,11.321428571428571,22,0.11003975061537848
intermediate,13,0.9722222222222222,11.321428571428571,22,0.11003975061537848
intermediate,14,0.9722222222222222,11.321428571428571,22,0.11003975061537848
intermediate,15,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,16,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,17,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,18,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,19,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,20,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,21,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,22,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,23,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,24,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,25,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,26,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,27,0.9375,11.622222222222222,22,0.10858794967509315
intermediate,28,0.9375,11.622222222222222,22,0.10858794967509315
