interval,perturbation_density,recovery_beta,gamma,decay,structural_reachable,effective_reachable,accessible_fraction,effective_edges,structural_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,mean_r,min_r,mean_D,max_D,regime
4,0.25,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.12698809584902,64.09527381502213,0.1054366243637868,0.8888888888888888,0.0,0.20072501558741018,9.23810359041086,trapped
4,0.25,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.118210782754481,64.01627799717129,0.1054913327890286,0.8888888888888888,0.0,0.15743963521973545,7.245951159301541,fragile
4,0.25,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.111262468664517,63.953743170361605,0.10553550848210685,0.8888888888888888,0.0,0.1234441357647511,5.681353220903875,fragile
4,0.25,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.10577321062427,63.90433984799938,0.10557096698405052,0.8888888888888888,0.0,0.09675426460615914,4.452987170682199,fragile
4,0.25,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.43776287452638,54.022674637308725,0.10662431212072285,0.8948807464100264,0.0,0.0758075517020651,3.488942389714924,strained
4,0.25,0.041999999999999996,0.138,0.013999999999999999,144,128,0.8888888888888888,228,264,0.8636363636363636,11.980549001169967,48.381474667166714,0.1081431579210274,0.9070017709072159,0.0,0.05937408794100702,2.7326139364344906,strained
4,0.25,0.048,0.132,0.016,144,135,0.9375,243,264,0.9204545454545454,11.646364786315978,41.082854655760535,0.10926957273584731,0.9186332031981751,0.0,0.04648608476127493,2.139460621191317,healthy
4,0.25,0.054000000000000006,0.126,0.018000000000000002,144,135,0.9375,243,264,0.9204545454545454,11.31322892252179,31.905224311397113,0.11050734208264064,0.9331385205494769,0.0,0.03638228104228943,1.674446406894148,healthy
4,0.25,0.06,0.12,0.02,144,135,0.9375,243,264,0.9204545454545454,11.117068098313053,28.74578241483766,0.11162578908098893,0.9450492790903452,0.0,0.028464083203213326,1.310021815008151,healthy
6,0.16666666666666666,0.012,0.16799999999999998,0.004,144,128,0.8888888888888888,228,264,0.8636363636363636,13.127656000991362,64.10128496130321,0.10543251024048433,0.8888888888888888,0.0,0.2040345213624456,9.390419220295703,trapped
6,0.16666666666666666,0.018000000000000002,0.16199999999999998,0.006000000000000001,144,128,0.8888888888888888,228,264,0.8636363636363636,13.119015537926321,64.02352079371784,0.10548626645448174,0.8888888888888888,0.0,0.16139236568904514,7.42787035573849,fragile
6,0.16666666666666666,0.024,0.156,0.008,144,128,0.8888888888888888,228,264,0.8636363636363636,13.11212250123032,63.96148346345383,0.1055299981265622,0.8888888888888888,0.0,0.1276391034404408,5.874421064655368,fragile
6,0.16666666666666666,0.030000000000000002,0.15,0.01,144,128,0.8888888888888888,228,264,0.8636363636363636,13.106633321525907,63.91208084611412,0.10556537782367842,0.8888888888888888,0.0,0.10092661238757486,4.64501396369123,fragile
6,0.16666666666666666,0.036000000000000004,0.144,0.012000000000000002,144,128,0.8888888888888888,228,264,0.8636363636363636,12.535827149278527,55.34991726365152,0.10640236676326077,0.8935722989669923,0.0,0.07979001795770942,3.6722301364229915,strained
